ID,cc_cons
17591,2809.1047558576356
13541,6591.926861923521
13431,2347.133395048995
8687,9209.716350777948
14727,2416.821714095132
14988,7899.78192428343
14859,23927.53095822496
16636,6500.8172901350135
7625,3895.1009729885945
16492,3704.596387559707
13674,5697.8462812460875
11981,5996.501571042818
5185,7110.315329432338
15288,3909.4980112435223
18526,6145.393543153543
16760,6765.820631160271
10805,16063.294490963915
8830,2859.1815616958056
8926,10415.583167411141
10974,17482.79215792646
2155,5327.885185254005
17251,21509.726256596517
12154,7576.620762564153
12227,6681.78593735962
19961,5561.940398096693
13866,6528.009277131194
17498,12555.945954997334
7241,4486.173444301867
414,24168.739338495667
206,6811.603350464749
7420,7557.292734036042
4601,55079.21474553092
2768,10523.89346511706
8120,10505.950238324394
18584,5510.754445647395
16697,10022.896585970055
16238,11271.399355297192
3772,8457.750358717522
3462,7775.259731839022
710,8832.485856989984
558,6319.633310456135
1244,8402.563734947424
1302,26442.425463164705
547,12831.8050672153
19129,6799.162833196969
237,6784.624915735692
11122,2060.1398717605
4438,2821.233977495018
18371,2697.2639171759165
6401,5814.849829502669
13770,18042.59835855054
18317,6730.338970612434
19226,12063.959621525648
4126,21999.926933431016
11313,2309.2588786650313
3925,6070.581337672034
15973,4661.269653420298
12281,7160.646246068095
353,11613.7122482526
907,4106.781917999276
1711,4475.491452068858
9617,5252.102824099244
12928,9806.291553989468
3523,9330.408481291463
18838,6761.338352792862
17609,8954.534164887464
306,5486.6616539255665
14812,3381.8714372348522
1551,3646.998733792956
16640,17802.943995229823
13546,2810.3451307274645
4968,23173.328799858922
13371,2648.0892042522582
3981,8436.061006791488
11568,25455.980413240482
5662,9819.954713951602
19586,3486.157256665456
14489,8711.604517010564
14153,7108.09662577915
7626,6838.853199358386
3085,6957.979101046406
14821,10709.366132437854
9815,6757.519335104203
6506,2005.1469923510112
6176,36203.17590072406
13040,2414.058328838094
1325,5392.373809656471
330,17861.68234285497
2389,17954.275911768906
10391,10917.869544204874
1019,22952.214168812323
4338,12935.279618727252
19849,11570.354074358927
13667,12722.389739455222
12709,4414.769978385257
12701,7297.261324659956
18563,11132.73722034596
19665,12361.514830436585
5251,16483.758615631035
6671,2465.4452266782473
15887,6661.6167878279175
544,5048.6513567273105
13494,18763.96103653365
4304,10342.377133927992
12181,6734.063554069935
15041,9179.319093769689
14167,6994.268459741136
4659,21116.676702958666
1820,9958.35993188467
6317,11806.736242634577
313,17034.497275420927
12467,13935.451195352314
13452,19803.918617565076
3464,1048.1329120610644
4890,7705.1039731039455
11567,20863.18425978708
17396,3837.1462018476122
13188,4243.580992536761
15605,7544.3322798798545
7577,4407.909158278112
8160,3810.3528708173308
1429,7782.64224541518
14928,9705.616369693513
3349,32855.64436069252
799,6257.649467166224
12678,7261.024665860654
19053,7212.580366251621
15806,6883.493741998949
2854,5799.903164695936
4144,6153.191401791663
16232,12397.566618020286
10365,13399.884606549314
4202,7411.514359036775
9671,3917.9980575406607
6615,2888.7149887137884
12050,7430.06328150455
13998,2379.3785571201724
7406,8268.745817186387
12497,5108.957504927029
4662,6202.931252501317
3661,2908.2406487346316
17436,5757.473644158319
2332,6627.2914131748985
16771,11525.464805319647
17110,18854.61053842362
15967,4187.639868145976
5758,3412.6689567559397
2882,5266.657035380373
10774,10042.662423089723
7750,25172.204650524312
16516,13757.48806134853
3670,1815.428907634755
15883,10120.018141865028
2947,4127.534773269051
13476,11456.146055851912
13301,8316.23725467809
6468,5679.761878353078
15135,12201.782552047542
16278,5552.248570603423
12114,12237.658694361955
3839,15362.441395901216
2886,6054.7737396734565
11928,11608.682966158967
15155,9595.128067119786
4316,5540.024778469093
7299,6845.578300831522
1306,3179.633674290738
19221,8230.385803510771
7039,4248.477665874222
11499,4687.090466276439
1312,5050.802092894359
2124,4165.61532519929
1907,4384.181753248867
16979,9026.58215871801
6629,15680.159804749579
5295,11528.442855383124
11961,12904.782036969773
11653,2636.517443295291
2822,4604.371487867108
9335,10309.46147350126
742,8430.08119726131
8080,3662.7064335242776
12707,7304.443750242567
3559,11207.181215353356
4455,22850.4665503464
16907,1509.2981808474096
6453,11544.334114616247
1108,7688.887960234719
280,4644.0520200573565
16566,4135.573782581255
17535,15160.750042816755
15464,4848.16495134478
936,3260.2768752069014
17214,4946.714491873375
6182,10473.004462492827
14305,7468.55768128906
11840,2373.233038872876
7534,14358.436443456474
3025,10194.062973494716
6393,4773.406179961278
13441,6523.989828829074
18252,4670.114410192248
11194,4584.687676312697
15711,9334.741462649603
5219,6066.931653037344
16914,19675.625521658974
10003,9028.577239645512
12338,14480.421302408473
3813,12922.444772756366
15088,10543.082903404846
10155,24265.31626802499
1466,42481.002211445106
15472,8158.001852206735
17157,16156.852496146752
18166,7869.3478522201185
15940,67192.90297941465
16627,1538.435120974963
10125,15790.01474390397
16485,8163.068008660763
683,22429.855907455778
6119,4830.911027898317
4454,20444.09570241216
9712,7259.5823687886605
4120,1801.7970992352812
15722,3560.2096095580673
6352,11851.805045461006
17883,8034.115796310007
18204,6371.255116311584
9971,14571.506391908682
9023,7149.70113257934
13472,2044.3563871942633
18393,6072.802742573711
1916,5735.760396930404
2114,13229.628172871218
15098,5173.998753634604
16002,12864.598261787021
14466,11377.345793582654
5230,2048.04465729185
7591,4256.432856401483
11578,8185.412200282268
3258,5831.912392781276
12283,8666.830593732439
17355,3989.0505153843906
6557,6792.97136165219
1523,2253.7694773905732
579,6399.463814735626
11196,6060.655264088752
4925,14931.132263396796
10260,7630.468103974657
16414,6005.065191209818
9575,11276.274605135559
4517,11556.216385347185
5120,5634.6828636015725
624,2654.4430377544877
19457,8933.413029088899
18888,2695.9909175721195
2356,11448.763677563482
4545,6062.8221910601005
18014,4578.872145379895
13964,11107.29008267628
6774,10369.419837599895
12210,12042.077807670345
7735,2822.352313823153
12253,13732.534299683302
968,8994.418402228064
19474,3333.640611250322
10090,15383.565966340218
9695,5118.461306495758
6057,35375.41911551953
11620,3892.4281130061845
19105,9405.48136402549
18161,11226.086062963988
16983,2038.6014108081763
16846,6244.9707356887575
12641,7103.4238736378775
12194,1845.7764568169296
3182,11080.45045356821
697,3052.0042698530333
16666,2256.3701531443076
10809,2543.4920000152406
16899,8450.319561047063
1473,8100.67786969734
11504,7333.537291693599
7004,15523.385937635378
12782,8721.6999546323
3142,2714.6957251017984
15486,9077.968333285402
10817,10398.081769943972
755,4681.582246672305
3527,31904.330118160156
18375,8952.663193700266
1146,5025.2925925311565
3290,5849.062362461279
5630,7931.265291921947
13114,10442.580834106022
17944,3282.368205397739
6621,12494.787477248388
8012,4211.950667242221
5782,22230.62711048389
2840,10341.107681923331
4245,7092.5629195696765
14833,1826.3215224066134
3884,4242.759997935582
9209,7611.740858316614
17550,5583.1385613316015
1191,3888.083059589905
16498,10539.74379017758
11748,18961.221386876707
16053,17128.459909384994
18527,4690.263760247369
11548,6195.9001017495375
11074,9766.571165393618
9104,7419.95101223747
8083,2693.3765245127097
11425,8471.568905058059
3247,9744.596420011678
7233,8832.963730670106
13650,24705.89601994312
11762,10021.793021953223
9216,10346.575525846712
2398,12477.169426707807
7321,4589.52179414484
19222,3218.374513404243
9225,2001.6410676721325
18451,4160.110197459445
2529,19502.65017870486
8266,11898.144805450407
15901,13325.096390367042
9070,6365.596374244264
15808,9780.287675776155
12019,8578.624169093368
19750,11347.473182932681
2532,5625.9287725766935
5234,11148.318217021959
10409,4826.57395496779
12698,9685.89545217975
15412,3709.1792021500733
19217,9861.590855455384
19907,7911.807483661764
833,11679.621798207647
17121,46328.04856900573
1966,11914.153759199407
7703,3201.6950755939106
520,6188.902258036507
3739,5856.441959694399
18300,10200.353019551809
9834,6785.393488900381
1992,5910.918266001825
16462,6049.3796697875405
14735,8266.240070642873
9481,5772.071890223789
6989,6318.893120135113
19741,6881.1314233792
5767,5100.885675394393
17583,23474.290400019272
930,9010.448449270847
1774,4188.511449519429
13003,2758.5003331498556
1780,2069.626604675038
5582,11042.152648792173
19569,11814.792564151601
3723,1456.5511596450697
3866,2190.2550751623103
7168,7011.762546067106
19793,1068.82316543884
5951,13151.097781659973
5641,8019.546743354834
6583,23811.291571809976
18998,11141.835709202704
8236,6269.628771649614
19610,4801.899193334113
5238,7997.71076102407
5335,4467.7019479656865
19316,9112.621012543712
9585,17479.746379771186
14363,19546.48360984153
6578,5153.034782996971
15395,21937.887362978814
1819,10783.43823762274
18381,19758.70123450077
3880,3059.336381911621
9098,8345.899507289183
17890,4421.428150655887
7861,6402.701999533652
5490,9961.326424969906
12309,3790.273224350125
1833,20220.679771083545
17881,36086.337275773076
13165,37881.50082342422
8610,27407.38043945416
13363,4911.8714935194175
4975,15285.387438783451
12351,17960.457983989116
273,8469.658853945935
8975,9189.587772957022
18951,8596.451134230647
15165,5605.22270784733
5178,4913.246652000942
6044,19908.61976794552
19386,6601.3753148214055
1635,11324.580098527407
2814,4763.145675703455
6974,3547.165131163145
18536,20792.562903246107
11636,3690.5733349182283
7414,22726.886218944303
11880,7168.252045053376
15503,6637.558842247441
983,2972.672754042088
18110,5151.86260622302
7084,15484.583620214635
14005,4476.249870539036
19111,6954.159868657591
18532,19844.93138816884
18394,7053.9427683886015
10851,5193.452232902302
4544,11065.651484957427
6236,8990.163505258599
15497,14010.115632238483
19864,11232.691404983976
15670,12141.584622458242
8118,4249.366256984844
7289,8191.318365440241
13788,5490.862493613453
5588,13812.071355831065
5110,3905.32763248802
10620,6471.200135367272
1156,10017.094977677287
18398,5691.258649473162
7134,23630.705760617275
7676,8152.8830943937755
9409,3854.3044693741203
17713,5347.676338747372
3435,13128.03950864365
14394,20468.3614070778
117,29952.477159381917
18541,20745.74517424882
17575,3703.8510717266527
8351,10218.88214276383
7216,9393.761227794394
8736,4322.232504184971
1989,3589.2247174092436
19666,3613.72760218235
3908,3332.882514316817
14375,9234.971293968489
7794,3605.1622371533504
7232,9255.135184394996
2836,11199.254101932569
15954,5176.8093619809415
3354,14673.160291991024
3368,9408.31463972006
9219,21917.877319173327
8658,3672.237321845986
3809,5735.8553075025975
5129,8367.659466528525
4874,33720.5088683128
8758,5156.574065821068
16293,6489.2754248332585
8150,11334.911146945136
4272,10336.327886217428
15938,14737.597365244756
9893,14311.139780439506
1299,2391.09710774258
7239,16816.576990433583
8253,16672.95082556173
19340,12423.148467594532
18530,10443.958869304295
14903,5692.431379440777
14454,30886.78285945183
12353,7234.742160540046
14431,5216.103596146637
17602,2477.914856686828
15036,2656.416856131351
8921,6852.818774503012
11059,9283.480651824493
18577,6953.897646237308
14565,8520.165079144987
4955,6558.471359425663
3535,4983.920575010023
2024,19205.64984165862
17666,2230.532706056586
6295,3154.6331328622273
7085,5844.275962507427
1389,3916.184694270446
3659,9234.388421951671
15509,1572.9786821784783
16938,23771.841149244894
15432,4384.873735688159
12074,8335.792341341015
15777,33699.037175261336
19953,6403.833148732519
1709,1930.2328882778029
10048,8563.415256676966
11839,4746.642069758024
701,4209.764196251438
7271,4132.902973748188
